Year,AID,MigratoryStrategy,SpringMS,SpringMSDate,SpringMSTime,SpringME,SpringMEDate,SpringMETime,FallMS,FallMSDate,FallMSTime,FallME,FallMEDate,FallMETime,Notes
2017,303,Long,5/8/2017 19:00,5/8/2017,19:00:00,6/15/2017 19:00,6/15/2017,19:00:00,10/31/2017 7:00,10/31/2017,7:00:00,3/17/2018 17:00,3/17/2018,17:00:00,
2017,304,Long,3/15/2017 7:00,3/15/2017,7:00:00,5/23/2017 13:00,5/23/2017,13:00:00,10/22/2017 21:00,10/22/2017,21:00:00,11/9/2017 1:00,11/9/2017,1:00:00,
2017,305,Long,3/15/2017 7:00,3/15/2017,7:00:00,6/9/2017 15:00,6/9/2017,15:00:00,10/10/2017 1:00,10/10/2017,1:00:00,11/3/2017 1:00,11/3/2017,1:00:00,
2017,306,Long,3/16/2017 11:00,3/16/2017,11:00:00,5/17/2017 23:00,5/17/2017,23:00:00,10/4/2017 5:00,10/4/2017,5:00:00,10/17/2017 11:00,10/17/2017,11:00:00,Remained in the Prospects for the 2017-18 winter
2017,308,Long,5/2/2017 11:00,5/2/2017,11:00:00,5/22/2017 23:00,5/22/2017,23:00:00,9/23/2017 7:00,9/23/2017,7:00:00,N/A,N/A,N/A,Collar failed on 10/16/2017
2017,309,Long,5/5/2017 23:00,5/5/2017,23:00:00,5/29/2017 21:00,5/29/2017,21:00:00,10/21/2017 9:00,10/21/2017,9:00:00,12/13/2017 9:00,12/13/2017,9:00:00,
2017,310,Medium,5/5/2017 23:00,5/5/2017,23:00:00,5/14/2017 7:00,5/14/2017,7:00:00,12/6/2017 13:00,12/6/2017,13:00:00,12/10/2017 14:00,12/10/2017,14:00:00,
2017,311,Medium,5/8/2017 3:00,5/8/2017,3:00:00,5/11/2017 5:00,5/11/2017,5:00:00,9/20/2017 5:00,9/20/2017,5:00:00,9/24/2017 21:00,9/24/2017,21:00:00,
2017,312,Medium,5/3/2017 3:00,5/3/2017,3:00:00,5/7/2017 15:00,5/7/2017,15:00:00,10/2/2017 9:00,10/2/2017,9:00:00,10/7/2017 19:00,10/7/2017,19:00:00,
2017,313,Medium,4/27/2017 19:00,4/27/2017,19:00:00,6/20/2017 19:00,6/20/2017,19:00:00,9/18/2017 19:00,9/18/2017,19:00:00,12/16/2017 19:00,12/16/2017,19:00:00,
2017,314,Long,4/16/2017 5:00,4/16/2017,5:00:00,7/4/2017 5:00,7/4/2017,5:00:00,9/18/2017 13:00,9/18/2017,13:00:00,11/25/2017 1:00,11/25/2017,1:00:00,
2017,315,Medium,5/8/2017 7:00,5/8/2017,7:00:00,5/12/2017 11:00,5/12/2017,11:00:00,10/30/2017 1:00,10/30/2017,1:00:00,11/9/2017 17:00,11/9/2017,17:00:00,
2017,316,Long,4/17/2017 5:00,4/17/2017,5:00:00,5/11/2017 13:00,5/11/2017,13:00:00,10/9/2017 1:00,10/9/2017,1:00:00,11/11/2017 15:00,11/11/2017,15:00:00,
2017,317,Long,4/13/2017 1:00,4/13/2017,1:00:00,5/15/2017 17:00,5/15/2017,17:00:00,10/21/2017 1:00,10/21/2017,1:00:00,12/22/2017 17:00,12/22/2017,17:00:00,Remained in the Prospects for the 2017-18 winter
2017,318,Medium,5/11/2017 1:00,5/11/2017,1:00:00,5/13/2017 7:00,5/13/2017,7:00:00,10/11/2017 7:00,10/11/2017,7:00:00,10/12/2017 15:00,10/12/2017,15:00:00,
